monthly_date,revenue_amount,profit_margin
6/1/2013," $514,267.91 ",23
4/1/2015," $1,626,399.94 ",20
5/1/2015," $893,175.62 ",17
6/1/2015," $1,105,868.42 ",17
10/1/2015," $1,550,466.38 ",20
12/1/2015," $387,837.42 ",19
2/1/2016," $889,213.72 ",20
5/1/2016," $697,288.63 ",22
6/1/2016," $819,495.69 ",19
8/1/2016," $2,581,108.00 ",18
9/1/2016," $2,930,510.27 ",20
10/1/2016," $1,213,048.12 ",19
11/1/2016," $1,655,850.12 ",25
12/1/2016," $2,135,083.45 ",18
1/1/2017," $1,141,926.20 ",18
2/1/2017," $4,937,377.21 ",18
3/1/2017," $1,491,531.55 ",20
4/1/2017," $417,049.24 ",27
5/1/2017," $1,044,349.27 ",20
6/1/2017," $926,416.51 ",17
8/1/2017," $1,568,564.83 ",25
9/1/2017," $1,675,983.52 ",18
10/1/2017," $897,148.08 ",22
11/1/2017," $307,842.27 ",20
