"order_date_month","total_revenue","total_units_sold"
"2013-06-01","514267.91","523"
"2015-04-01","1626399.94","2096"
"2015-05-01","893175.62","650"
"2015-06-01","1105868.42","1011"
"2015-10-01","1550466.38","1565"
"2015-12-01","387837.42","610"
"2016-02-01","889213.72","899"
"2016-05-01","697288.63","914"
"2016-06-01","819495.69","1237"
"2016-08-01","2581108.00","2733"
"2016-09-01","2930510.27","3124"
"2016-10-01","1213048.12","1694"
"2016-11-01","1655850.12","2187"
"2016-12-01","2135083.45","2998"
"2017-01-01","1141926.20","1240"
"2017-02-01","4937377.21","5753"
"2017-03-01","1491531.55","1451"
"2017-04-01","417049.24","678"
"2017-05-01","1044349.27","1831"
"2017-06-01","926416.51","820"
"2017-08-01","1568564.83","1881"
"2017-09-01","1675983.52","2099"
"2017-10-01","897148.08","800"
"2017-11-01","307842.27","245"
