"product_id","product_name","category_id","category_name","description","revenue","cogs","profit_margin","low_margin_flag"
202,"G.Skill Trident Z",5,"Storage","Speed:DDR4-3200,Type:288-pin DIMM,CAS:14Module:4x16GBSize:64GB","74254.96","55453.84","25.3197","Not Low"
91,"Intel Xeon E5-2695 V2",1,"CPU","Speed:2.4GHz,Cores:12,TDP:115W","707376.87","561374.89","20.6399","Not Low"
149,"ASRock X299 Taichi",4,"Mother Board","CPU:LGA2066,Form Factor:ATX,RAM Slots:8,Max RAM:128GB","14431.98","10932.36","24.2491","Not Low"
251,"MSI X299 GAMING PRO CARBON AC",4,"Mother Board","CPU:LGA2066,Form Factor:ATX,RAM Slots:8,Max RAM:128GB","38172.53","26984.40","29.3094","Not Low"
7,"G.Skill Ripjaws V Series",5,"Storage","Speed:DDR4-3200,Type:288-pin DIMM,CAS:15Module:8x8GBSize:64GB","245837.39","217466.40","11.5406","Low"
271,"MSI X99A GODLIKE GAMING CARBON",4,"Mother Board","CPU:LGA2011-3,Form Factor:EATX,RAM Slots:8,Max RAM:128GB","119261.03","90055.00","24.4892","Not Low"
186,"PNY VCQK5200-PB",2,"Video Card","Chipset:Quadro K5200,Memory:8GBCore Clock:667MHz","674240.70","525166.35","22.1100","Not Low"
65,"Corsair Dominator Platinum",5,"Storage","Speed:DDR4-2400,Type:288-pin DIMM,CAS:15Module:8x16GBSize:128GB","231598.07","193476.71","16.4601","Not Low"
29,"Corsair Vengeance LPX",5,"Storage","Speed:DDR4-3200,Type:288-pin DIMM,CAS:15Module:4x16GBSize:64GB","41989.35","37160.50","11.5002","Low"
36,"Corsair Vengeance LPX",5,"Storage","Speed:DDR4-3000,Type:288-pin DIMM,CAS:15Module:8x16GBSize:128GB","197598.48","138772.96","29.7702","Not Low"
211,"Intel Xeon E5-2650",1,"CPU","Speed:2.0GHz,Cores:8,TDP:95W","223647.90","182496.30","18.4002","Not Low"
113,"G.Skill Trident Z",5,"Storage","Speed:DDR4-3200,Type:288-pin DIMM,CAS:15Module:4x16GBSize:64GB","132538.12","109079.48","17.6995","Not Low"
281,"Asus ROG-POSEIDON-GTX1080TI-P11G-GAMING",2,"Video Card","Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.62GHz","73523.30","59171.90","19.5195","Not Low"
241,"Intel Xeon E5-2699 V4 (OEM/Tray)",1,"CPU","Speed:2.2GHz,Cores:22,TDP:145W","658500.00","575857.50","12.5501","Low"
3,"Corsair CB-9060011-WW",2,"Video Card","Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.57GHz","80798.99","57924.51","28.3104","Not Low"
208,"Samsung MZ-V6P2T0BW",5,"Storage","Series:960 Pro,Type:SSD,Capacity:2TB,Cache:2GB","383996.80","268835.20","29.9902","Not Low"
42,"MSI Z170A KRAIT GAMING",4,"Mother Board","CPU:LGA1151,Form Factor:ATX,RAM Slots:4,Max RAM:64GB","22491.75","19680.00","12.5013","Low"
106,"Intel Xeon E5-2640 V2",1,"CPU","Speed:2.0GHz,Cores:8,TDP:95W","178422.35","159740.67","10.4705","Low"
53,"Intel Core 2 Extreme QX6800",1,"CPU","Speed:2.93GHz,Cores:4,TDP:100W","128509.44","100828.16","21.5403","Not Low"
30,"G.Skill Ripjaws V Series",5,"Storage","Speed:DDR4-2800,Type:288-pin DIMM,CAS:14Module:4x16GBSize:64GB","215496.80","151148.36","29.8605","Not Low"
23,"Western Digital WDS250G1B0A",5,"Storage","Series:Blue,Type:SSD,Capacity:250GB,Cache:N/A","12764.38","10300.68","19.3014","Not Low"
177,"PNY VCQM5000-PB",2,"Video Card","Chipset:Quadro M5000,Memory:8GBCore Clock:861MHz","535036.96","385599.68","27.9303","Not Low"
109,"G.Skill Trident Z",5,"Storage","Speed:DDR4-3200,Type:288-pin DIMM,CAS:14Module:4x16GBSize:64GB","89248.75","73157.50","18.0297","Not Low"
27,"Intel Core i7-3960X Extreme Edition",1,"CPU","Speed:3.3GHz,Cores:6,TDP:130W","73668.08","52753.72","28.3900","Not Low"
256,"Western Digital WD5000AACS",5,"Storage","Series:Caviar Green,Type:5400RPM,Capacity:500GB,Cache:16MB","2294.15","1711.90","25.3798","Not Low"
39,"ASRock EP2C602-4L/D16",4,"Mother Board","CPU:LGA2011 x 2,Form Factor:SSI EEB,RAM Slots:16,Max RAM:512GB","50432.33","37653.49","25.3386","Not Low"
178,"HP C2J95AT",2,"Video Card","Chipset:Quadro K5000,Memory:4GBCore Clock:706MHz","491972.94","422113.86","14.1998","Low"
10,"Crucial",5,"Storage","Speed:DDR4-2133,Type:288-pin DIMM,CAS:15Module:2x16GBSize:32GB","124234.47","88790.49","28.5299","Not Low"
56,"Western Digital WD2500AAJS",5,"Storage","Series:Caviar Blue,Type:7200RPM,Capacity:250GB,Cache:8MB","2378.60","2132.20","10.3590","Low"
253,"Samsung MZ-V6P1T0BW",5,"Storage","Series:960 Pro,Type:SSD,Capacity:1TB,Cache:1GB","121217.91","97496.41","19.5693","Not Low"
128,"Kingston",5,"Storage","Speed:DDR4-2133,Type:288-pin DIMM,CAS:15Module:4x16GBSize:64GB","98636.79","86513.84","12.2905","Low"
285,"Samsung MZ-75E1T0B/AM",5,"Storage","Series:850 EVO-Series,Type:SSD,Capacity:1TB,Cache:N/A","49298.55","37733.35","23.4595","Not Low"
288,"Asus ROG STRIX X99 GAMING",4,"Mother Board","CPU:LGA2011-3,Form Factor:ATX,RAM Slots:8,Max RAM:128GB","19839.38","15863.32","20.0413","Not Low"
141,"Supermicro X11SSL-CF",4,"Mother Board","CPU:LGA1151,Form Factor:Micro ATX,RAM Slots:4,Max RAM:64GB","205375.11","155409.09","24.3292","Not Low"
92,"Intel Xeon E5-2643 V2 (OEM/Tray)",1,"CPU","Speed:3.5GHz,Cores:6,TDP:130W","275000.00","242522.50","11.8100","Low"
170,"Asus X99-DELUXE II",4,"Mother Board","CPU:LGA2011-3,Form Factor:ATX,RAM Slots:8,Max RAM:128GB","11903.38","8969.23","24.6497","Not Low"
14,"G.Skill Ripjaws V Series",5,"Storage","Speed:DDR4-3333,Type:288-pin DIMM,CAS:16Module:4x16GBSize:64GB","94468.66","84909.10","10.1193","Low"
144,"Intel DG43RK",4,"Mother Board","CPU:LGA775,Form Factor:Micro ATX,RAM Slots:4,Max RAM:8GB","56509.05","42839.55","24.1899","Not Low"
276,"Corsair Vengeance LPX",5,"Storage","Speed:DDR4-2666,Type:288-pin DIMM,CAS:15Module:8x16GBSize:128GB","115235.01","85884.48","25.4702","Not Low"
248,"Intel Xeon E5-2697 V3",1,"CPU","Speed:2.6GHz,Cores:14,TDP:145W","116549.16","97703.34","16.1698","Not Low"
204,"G.Skill Ripjaws V Series",5,"Storage","Speed:DDR4-3200,Type:288-pin DIMM,CAS:15Module:4x16GBSize:64GB","194418.17","154699.12","20.4297","Not Low"
146,"EVGA Z270 Classified K",4,"Mother Board","CPU:LGA1151,Form Factor:EATX,RAM Slots:4,Max RAM:64GB","16754.82","13821.34","17.5083","Not Low"
235,"Hitachi A7K1000-1000",5,"Storage","Series:Ultrastar,Type:7200RPM,Capacity:1TB,Cache:32MB","13604.76","9700.56","28.6973","Not Low"
103,"EVGA 11G-P4-6598-KR",2,"Video Card","Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.56GHz","85048.95","69671.70","18.0805","Not Low"
95,"Western Digital WDS256G1X0C",5,"Storage","Series:Black PCIe,Type:SSD,Capacity:256GB,Cache:N/A","44655.94","34863.22","21.9293","Not Low"
