"product_id","product_name","description","revenue","cogs","profit_margin","low_margin_flag"
273,"Western Digital WD101KRYZ","Series:Gold,Type:7200RPM,Capacity:10TB,Cache:256MB","100706.28","71268.92","29.2309","Not Low"
107,"Kingston","Speed:DDR3-1600,Type:240-pin DIMM,CAS:11Module:4x16GBSize:64GB","235060.00","173075.70","26.3696","Not Low"
284,"Kingston SA400S37/120G","Series:A400,Type:SSD,Capacity:120GB,Cache:N/A","14077.44","10401.28","26.1138","Not Low"
104,"SanDisk SDSSDA-240G-G26","Series:SSD PLUS,Type:SSD,Capacity:240GB,Cache:N/A","8136.36","5926.70","27.1578","Not Low"
84,"Asus X99-DELUXE/U3.1","CPU:LGA2011-3,Form Factor:ATX,RAM Slots:8,Max RAM:64GB","63403.20","47862.72","24.5106","Not Low"
202,"G.Skill Trident Z","Speed:DDR4-3200,Type:288-pin DIMM,CAS:14Module:4x16GBSize:64GB","74254.96","55453.84","25.3197","Not Low"
257,"SanDisk SDSSDHII-240G-G25","Series:Ultra II,Type:SSD,Capacity:240GB,Cache:N/A","5946.50","5137.30","13.6080","Low"
132,"Intel Core i7-5930K","Speed:3.5GHz,Cores:6,TDP:140W","42734.23","37080.12","13.2309","Low"
154,"Intel Xeon E5-2650 V3","Speed:2.3GHz,Cores:10,TDP:105W","331369.50","249323.25","24.7597","Not Low"
9,"Intel Xeon E5-2640 V4","Speed:2.4GHz,Cores:10,TDP:90W","95398.94","78303.26","17.9202","Not Low"
83,"Asus STRIX-GTX1080TI-O11G-GAMING","Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.57GHz","97938.82","81553.34","16.7303","Not Low"
166,"Intel Xeon E5-2680 V3 (OEM/Tray)","Speed:2.5GHz,Cores:12,TDP:120W","224527.93","159863.93","28.8000","Not Low"
224,"Asus STRIX X299-E GAMING","CPU:LGA2066,Form Factor:ATX,RAM Slots:8,Max RAM:128GB","57398.36","50184.00","12.5689","Low"
113,"G.Skill Trident Z","Speed:DDR4-3200,Type:288-pin DIMM,CAS:15Module:4x16GBSize:64GB","132538.12","109079.48","17.6995","Not Low"
281,"Asus ROG-POSEIDON-GTX1080TI-P11G-GAMING","Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.62GHz","73523.30","59171.90","19.5195","Not Low"
208,"Samsung MZ-V6P2T0BW","Series:960 Pro,Type:SSD,Capacity:2TB,Cache:2GB","383996.80","268835.20","29.9902","Not Low"
51,"Intel Xeon E5-2695 V4","Speed:2.1GHz,Cores:18,TDP:120W","494857.82","388116.30","21.5701","Not Low"
163,"Intel Xeon E5-2683 V4","Speed:2.1GHz,Cores:16,TDP:120W","313498.35","281646.75","10.1601","Low"
135,"Samsung MZ-V6E250","Series:960 EVO,Type:SSD,Capacity:250GB,Cache:512MB","16880.16","12273.36","27.2912","Not Low"
