"yearly_orders","product_id","product_name","category_id","category_name","description","revenue","cogs","profit_margin","low_margin_flag"
"2013-01-01",113,"G.Skill Trident Z",5,"Storage","Speed:DDR4-3200,Type:288-pin DIMM,CAS:15Module:4x16GBSize:64GB","58514.17","48157.43","17.6995","Not Low"
"2013-01-01",116,"G.Skill Trident Z",5,"Storage","Speed:DDR4-3400,Type:288-pin DIMM,CAS:16Module:4x16GBSize:64GB","25619.65","19788.65","22.7599","Not Low"
"2013-01-01",119,"Intel Xeon E5-2640 V3",1,"CPU","Speed:2.6GHz,Cores:8,TDP:90W","126898.59","94221.84","25.7503","Not Low"
"2013-01-01",248,"Intel Xeon E5-2697 V3",1,"CPU","Speed:2.6GHz,Cores:14,TDP:145W","116549.16","97703.34","16.1698","Not Low"
"2013-01-01",262,"Corsair Dominator Platinum",5,"Storage","Speed:DDR4-3200,Type:288-pin DIMM,CAS:16Module:8x16GBSize:128GB","171098.82","124132.46","27.4498","Not Low"
"2013-01-01",280,"Western Digital WDS500G1B0B",5,"Storage","Series:Blue,Type:SSD,Capacity:500GB,Cache:N/A","15587.52","11116.56","28.6829","Not Low"
"2015-01-01",1,"G.Skill Ripjaws V Series",5,"Storage","Speed:DDR4-3000,Type:288-pin DIMM,CAS:15Module:8x8GBSize:64GB","36536.43","25670.52","29.7399","Not Low"
"2015-01-01",7,"G.Skill Ripjaws V Series",5,"Storage","Speed:DDR4-3200,Type:288-pin DIMM,CAS:15Module:8x8GBSize:64GB","176376.41","156021.60","11.5406","Low"
"2015-01-01",11,"PNY VCQP5000-PB",2,"Video Card","Chipset:Quadro P5000,Memory:16GBCore Clock:1.61GHz","149118.14","118563.54","20.4902","Not Low"
"2015-01-01",18,"Crucial",5,"Storage","Speed:DDR4-2400,Type:288-pin DIMM,CAS:17Module:1x64GBSize:64GB","131835.00","99666.60","24.4005","Not Low"
"2015-01-01",20,"Corsair Dominator Platinum",5,"Storage","Speed:DDR4-3200,Type:288-pin DIMM,CAS:15Module:4x16GBSize:64GB","57599.20","49322.40","14.3696","Not Low"
"2015-01-01",34,"Asus KGPE-D16",4,"Mother Board","CPU:G34 x 2,Form Factor:SSI EEB,RAM Slots:16,Max RAM:256GB","52665.48","45450.72","13.6992","Not Low"
"2015-01-01",43,"Asus MAXIMUS IX CODE",4,"Mother Board","CPU:LGA1151,Form Factor:ATX,RAM Slots:4,Max RAM:64GB","33186.78","29542.65","10.9807","Low"
"2015-01-01",44,"Seagate ST1000DM010",5,"Storage","Series:BarraCuda,Type:7200RPM,Capacity:1TB,Cache:64MB","2715.35","2319.90","14.5635","Not Low"
"2015-01-01",47,"Intel Xeon E5-2697 V2",1,"CPU","Speed:2.7GHz,Cores:12,TDP:130W","328038.42","290019.42","11.5898","Low"
