"order_date_month","product_category","revenue"
"2017-11-01","Storage","94240.61"
"2017-11-01","Video Card","213601.66"
"2017-10-01","CPU","194574.91"
"2017-10-01","Mother Board","13264.13"
"2017-10-01","Storage","7690.16"
"2017-10-01","Video Card","681618.88"
"2017-09-01","CPU","215945.66"
"2017-09-01","Mother Board","191221.42"
"2017-09-01","Storage","395054.26"
"2017-09-01","Video Card","873762.18"
"2017-08-01","CPU","758655.41"
"2017-08-01","Mother Board","60019.57"
"2017-08-01","Storage","207145.61"
"2017-08-01","Video Card","542744.24"
"2017-06-01","CPU","454329.21"
"2017-06-01","Mother Board","94754.00"
"2017-06-01","Storage","377333.30"
"2017-05-01","CPU","472633.87"
"2017-05-01","Mother Board","200443.52"
"2017-05-01","Storage","253396.72"
"2017-05-01","Video Card","117875.16"
"2017-04-01","Mother Board","174956.64"
"2017-04-01","Storage","242092.60"
"2017-03-01","CPU","637256.95"
"2017-03-01","Mother Board","229341.51"
"2017-03-01","Storage","181463.39"
"2017-03-01","Video Card","443469.70"
"2017-02-01","CPU","1981228.35"
"2017-02-01","Mother Board","295402.87"
"2017-02-01","Storage","1125277.56"
"2017-02-01","Video Card","1535468.43"
"2017-01-01","CPU","693882.07"
"2017-01-01","Mother Board","124488.72"
"2017-01-01","Storage","323555.41"
"2016-12-01","CPU","597779.51"
"2016-12-01","Mother Board","193945.98"
"2016-12-01","Storage","1178070.04"
"2016-12-01","Video Card","165287.92"
"2016-11-01","CPU","587384.81"
"2016-11-01","Mother Board","278964.92"
"2016-11-01","Storage","470071.91"
"2016-11-01","Video Card","319428.48"
"2016-10-01","CPU","348266.38"
"2016-10-01","Mother Board","149318.09"
"2016-10-01","Storage","458993.99"
"2016-10-01","Video Card","256469.66"
"2016-09-01","CPU","1102531.36"
"2016-09-01","Mother Board","217287.55"
"2016-09-01","Storage","674746.77"
"2016-09-01","Video Card","935944.59"
"2016-08-01","CPU","1463764.95"
"2016-08-01","Mother Board","463744.18"
"2016-08-01","Storage","210714.82"
"2016-08-01","Video Card","442884.05"
"2016-06-01","CPU","214122.30"
"2016-06-01","Mother Board","119347.34"
"2016-06-01","Storage","157253.73"
"2016-06-01","Video Card","328772.32"
"2016-05-01","CPU","351547.05"
"2016-05-01","Mother Board","47555.68"
"2016-05-01","Storage","213136.95"
"2016-05-01","Video Card","85048.95"
"2016-02-01","CPU","266085.03"
"2016-02-01","Mother Board","109738.20"
"2016-02-01","Storage","309510.49"
"2016-02-01","Video Card","203880.00"
"2015-12-01","CPU","172200.78"
"2015-12-01","Storage","13479.30"
"2015-12-01","Video Card","202157.34"
"2015-10-01","CPU","408604.87"
"2015-10-01","Mother Board","134924.33"
"2015-10-01","Storage","472210.23"
"2015-10-01","Video Card","534726.95"
"2015-06-01","CPU","634396.52"
"2015-06-01","Mother Board","117443.10"
"2015-06-01","Storage","152039.91"
"2015-06-01","Video Card","201988.89"
"2015-05-01","CPU","134676.97"
"2015-05-01","Mother Board","21779.34"
"2015-05-01","Storage","104013.27"
"2015-05-01","Video Card","632706.04"
"2015-04-01","CPU","338719.52"
"2015-04-01","Mother Board","128974.46"
"2015-04-01","Storage","806849.77"
"2015-04-01","Video Card","351856.19"
"2013-06-01","CPU","243447.75"
"2013-06-01","Storage","270820.16"
