"order_date_month","warehouse_name","country_name","revenue_country"
"2016-09-01","New Jersey","United States of America","951011.42"
"2017-01-01","Mexico City","Mexico","557537.63"
"2015-10-01","Southlake, Texas","United States of America","534726.95"
"2016-10-01","New Jersey","United States of America","88271.98"
"2016-11-01","Southlake, Texas","United States of America","234462.00"
"2016-10-01","Sydney","Australia","664691.72"
"2017-01-01","Bombay","India","982926.43"
"2017-05-01","New Jersey","United States of America","395682.63"
"2015-12-01","Beijing","China","383877.78"
"2016-05-01","Seattle, Washington","United States of America","319265.78"
"2017-04-01","San Francisco","United States of America","361509.98"
"2017-09-01","San Francisco","United States of America","556421.28"
"2017-06-01","Beijing","China","472087.30"
"2016-11-01","Sydney","Australia","641447.40"
"2016-05-01","Beijing","China","697288.63"
"2016-05-01","San Francisco","United States of America","403489.93"
"2016-10-01","Beijing","China","617274.46"
"2015-05-01","Bombay","India","604804.02"
"2016-12-01","Southlake, Texas","United States of America","93396.42"
"2016-12-01","Beijing","China","1310238.53"
"2015-10-01","Mexico City","Mexico","744838.45"
"2017-09-01","Toronto","Canada","462344.38"
"2017-11-01","San Francisco","United States of America","307842.27"
"2017-09-01","Bombay","India","457803.86"
"2017-11-01","Mexico City","Mexico","213601.66"
"2015-05-01","Toronto","Canada","544549.46"
"2015-05-01","New Jersey","United States of America","540938.32"
"2016-05-01","Sydney","Australia","697288.63"
"2015-04-01","Seattle, Washington","United States of America","944021.58"
"2017-04-01","Toronto","Canada","112723.98"
"2017-03-01","Bombay","India","1110280.70"
"2016-08-01","Beijing","China","1316845.79"
"2016-06-01","Beijing","China","700040.40"
"2016-06-01","Seattle, Washington","United States of America","591771.13"
"2016-09-01","Mexico City","Mexico","1037715.28"
"2015-04-01","Southlake, Texas","United States of America","351856.19"
"2017-09-01","New Jersey","United States of America","168036.40"
"2017-04-01","Bombay","India","248786.00"
"2017-11-01","Bombay","India","307842.27"
"2016-09-01","Bombay","India","1965978.42"
"2017-02-01","Sydney","Australia","3188380.53"
"2017-02-01","Mexico City","Mexico","1677608.21"
"2015-05-01","Beijing","China","608415.16"
"2017-10-01","Seattle, Washington","United States of America","521498.14"
"2017-09-01","Seattle, Washington","United States of America","262113.30"
"2017-02-01","Toronto","Canada","1806487.31"
"2015-12-01","San Francisco","United States of America","383877.78"
"2016-02-01","San Francisco","United States of America","644384.26"
"2013-06-01","Sydney","Australia","339204.58"
"2017-02-01","San Francisco","United States of America","2719774.97"
"2016-12-01","Seattle, Washington","United States of America","900335.20"
"2017-05-01","Mexico City","Mexico","485561.65"
"2016-06-01","Mexico City","Mexico","407365.01"
"2017-06-01","San Francisco","United States of America","472087.30"
"2017-03-01","Mexico City","Mexico","690131.13"
"2015-10-01","San Francisco","United States of America","743140.00"
"2015-10-01","Bombay","India","928865.90"
"2013-06-01","Beijing","China","168105.76"
"2017-03-01","San Francisco","United States of America","783072.61"
"2016-11-01","Beijing","China","523497.44"
"2015-06-01","Toronto","Canada","351078.78"
"2017-11-01","New Jersey","United States of America","213601.66"
"2015-12-01","Toronto","Canada","211677.00"
"2016-02-01","Southlake, Texas","United States of America","203880.00"
"2015-04-01","Beijing","China","1318780.54"
"2016-08-01","Seattle, Washington","United States of America","692530.53"
"2016-08-01","Mexico City","Mexico","744243.74"
"2016-06-01","Sydney","Australia","701314.65"
"2015-04-01","Sydney","Australia","1626399.94"
"2016-08-01","New Jersey","United States of America","663561.11"
"2013-06-01","Mexico City","Mexico","15587.52"
"2017-10-01","Toronto","Canada","409743.76"
"2017-08-01","Southlake, Texas","United States of America","264133.41"
"2016-10-01","Seattle, Washington","United States of America","363356.14"
"2017-02-01","Seattle, Washington","United States of America","2272474.03"
"2016-09-01","Sydney","Australia","2071287.28"
"2017-10-01","New Jersey","United States of America","402053.60"
"2017-11-01","Southlake, Texas","United States of America","213601.66"
"2016-12-01","Toronto","Canada","738724.16"
"2016-05-01","New Jersey","United States of America","378847.65"
"2016-06-01","Bombay","India","621447.71"
"2016-02-01","Toronto","Canada","439156.50"
"2016-12-01","Sydney","Australia","1653146.15"
"2016-10-01","Toronto","Canada","342190.30"
"2017-05-01","Bombay","India","685754.00"
"2016-06-01","Toronto","Canada","407365.01"
"2016-10-01","Mexico City","Mexico","342190.30"
"2016-08-01","San Francisco","United States of America","954920.26"
"2015-04-01","Bombay","India","1268742.80"
"2016-11-01","New Jersey","United States of America","234462.00"
"2017-08-01","Sydney","Australia","854309.67"
"2016-11-01","Seattle, Washington","United States of America","368048.90"
"2017-05-01","Beijing","China","775633.02"
"2017-11-01","Seattle, Washington","United States of America","307842.27"
"2016-10-01","San Francisco","United States of America","617274.46"
"2016-08-01","Sydney","Australia","1523837.24"
"2017-01-01","Seattle, Washington","United States of America","480521.33"
"2016-12-01","New Jersey","United States of America","423620.00"
"2013-06-01","Seattle, Washington","United States of America","152518.24"
"2015-06-01","Mexico City","Mexico","351078.78"
"2016-10-01","Southlake, Texas","United States of America","88271.98"
"2015-04-01","San Francisco","United States of America","1281879.32"
"2017-08-01","San Francisco","United States of America","840869.99"
"2017-09-01","Beijing","China","559599.88"
"2017-05-01","San Francisco","United States of America","410118.97"
"2017-06-01","Seattle, Washington","United States of America","472087.30"
"2016-11-01","San Francisco","United States of America","542011.22"
"2017-01-01","Beijing","China","1081208.36"
"2017-06-01","Sydney","Australia","472087.30"
"2016-08-01","Toronto","Canada","925950.84"
"2016-08-01","Southlake, Texas","United States of America","119928.48"
"2016-12-01","San Francisco","United States of America","1215439.36"
"2017-02-01","Beijing","China","2996523.92"
"2016-02-01","Seattle, Washington","United States of America","409107.76"
"2015-10-01","New Jersey","United States of America","706312.91"
"2015-05-01","Sydney","Australia","630194.50"
"2016-05-01","Toronto","Canada","463071.80"
"2017-10-01","Sydney","Australia","542452.43"
"2017-10-01","Mexico City","Mexico","409743.76"
"2016-12-01","Mexico City","Mexico","503299.75"
"2016-09-01","San Francisco","United States of America","1728799.69"
"2017-03-01","Beijing","China","1110280.70"
"2016-09-01","Seattle, Washington","United States of America","1623490.83"
"2015-12-01","Seattle, Washington","United States of America","374358.12"
"2017-01-01","Sydney","Australia","1088467.70"
"2015-04-01","Mexico City","Mexico","650626.87"
"2015-05-01","Seattle, Washington","United States of America","604804.02"
"2015-05-01","Southlake, Texas","United States of America","540938.32"
"2016-02-01","Mexico City","Mexico","439156.50"
"2017-09-01","Mexico City","Mexico","269832.42"
"2017-06-01","Bombay","India","472087.30"
"2017-01-01","Toronto","Canada","557537.63"
"2017-05-01","Southlake, Texas","United States of America","87999.12"
"2016-08-01","Bombay","India","1236163.16"
"2013-06-01","Toronto","Canada","186686.34"
"2015-12-01","Sydney","Australia","387837.42"
"2016-11-01","Bombay","India","434501.60"
"2017-02-01","Bombay","India","2700672.08"
"2015-12-01","Southlake, Texas","United States of America","202157.34"
"2017-03-01","Seattle, Washington","United States of America","783072.61"
"2015-12-01","Bombay","India","374358.12"
"2017-11-01","Sydney","Australia","307842.27"
"2017-08-01","Bombay","India","681175.39"
"2017-04-01","Mexico City","Mexico","112723.98"
"2017-08-01","Toronto","Canada","437267.69"
"2015-06-01","Beijing","China","548076.20"
"2017-10-01","Bombay","India","521498.14"
"2016-06-01","San Francisco","United States of America","670363.82"
"2017-10-01","Southlake, Texas","United States of America","402053.60"
"2017-03-01","Toronto","Canada","690131.13"
"2015-12-01","New Jersey","United States of America","202157.34"
"2016-02-01","Beijing","China","689643.70"
"2016-11-01","Mexico City","Mexico","323457.84"
"2017-10-01","San Francisco","United States of America","529188.30"
"2015-05-01","Mexico City","Mexico","544549.46"
"2015-04-01","Toronto","Canada","938446.87"
"2017-03-01","New Jersey","United States of America","690131.13"
"2016-06-01","New Jersey","United States of America","328772.32"
"2017-08-01","New Jersey","United States of America","264133.41"
"2016-11-01","Toronto","Canada","408424.32"
"2017-11-01","Toronto","Canada","213601.66"
"2015-10-01","Beijing","China","967391.44"
"2016-09-01","Southlake, Texas","United States of America","608523.83"
"2017-11-01","Beijing","China","307842.27"
"2016-02-01","New Jersey","United States of America","203880.00"
"2016-12-01","Bombay","India","1230558.78"
"2017-03-01","Sydney","Australia","1138318.93"
"2015-06-01","New Jersey","United States of America","328038.42"
"2015-06-01","Seattle, Washington","United States of America","196997.42"
"2015-04-01","New Jersey","United States of America","600589.13"
"2015-10-01","Sydney","Australia","982690.99"
"2017-04-01","Seattle, Washington","United States of America","248786.00"
"2015-12-01","Mexico City","Mexico","211677.00"
"2017-04-01","Sydney","Australia","362614.33"
"2016-02-01","Bombay","India","454367.20"
"2013-06-01","San Francisco","United States of America","339204.58"
"2015-06-01","Bombay","India","525035.84"
"2017-10-01","Beijing","China","529188.30"
"2015-10-01","Seattle, Washington","United States of America","704614.46"
"2017-05-01","Sydney","Australia","824495.28"
