order_date_month,shipped_percentage,canceled_percentage,progress_percentage
6/1/2013,100,0,0
4/1/2015,100,0,0
5/1/2015,33,66,0
6/1/2015,100,0,0
10/1/2015,66,0,33
12/1/2015,50,0,50
2/1/2016,66,0,33
5/1/2016,50,50,0
6/1/2016,57,28,14
7/1/2016,0,100,0
8/1/2016,80,20,0
9/1/2016,70,10,20
10/1/2016,55,22,22
11/1/2016,60,0,40
12/1/2016,75,12,12
1/1/2017,40,0,60
2/1/2017,76,7,15
3/1/2017,75,25,0
4/1/2017,50,50,0
5/1/2017,75,0,25
6/1/2017,100,0,0
8/1/2017,60,40,0
9/1/2017,100,0,0
10/1/2017,50,0,50
11/1/2017,100,0,0
